id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count,user_id,image_url
T001,Webcam,Accessorie: Logitech,en,1800 HD 1080p,1800,2023-01-01,4.5,100,U005,https://via.placeholder.com/150
T001,Earphones,Accessorie: boAt,en,"In-ear, Wireless",999,2023-01-01,4.3,85,U050,https://via.placeholder.com/150
T001,USB Hub,Accessorie: Anker,en,4-Port USB,1500,2023-01-01,4.7,120,U027,https://via.placeholder.com/150
T001,Monitor,Electronics: Samsung,en,24-inch Full HD,12000,2023-01-01,4.8,200,U022,https://via.placeholder.com/150
T002,Earphones,Accessorie: boAt,en,"In-ear, Wireless",999,2023-01-02,4.3,85,U038,https://via.placeholder.com/150
T002,External HDD,Seagate,en,1TB Portable,3500,2023-01-02,4.6,150,U007,https://via.placeholder.com/150
T002,Laptop Stand,Accessorie: AmazonBasics,en,Adjustable,999,2023-01-02,4.2,75,U003,https://via.placeholder.com/150
T003,Mouse,Accessorie: Logitech,en,Wireless Optical,700,2023-01-03,4.4,90,U028,https://via.placeholder.com/150
T003,USB Hub,Accessorie: Anker,en,4-Port USB,1500,2023-01-03,4.7,120,U024,https://via.placeholder.com/150
T003,Keyboard,Accessorie: HP,en,Mechanical,1200,2023-01-03,4.5,110,U024,https://via.placeholder.com/150
T004,USB Hub,Accessorie: Anker,en,4-Port USB,1500,2023-01-04,4.7,120,U013,https://via.placeholder.com/150
T004,Keyboard,Accessorie: HP,en,Mechanical,1200,2023-01-04,4.5,110,U047,https://via.placeholder.com/150
T005,Monitor,Electronics: Samsung,en,24-inch Full HD,12000,2023-01-05,4.8,200,U008,https://via.placeholder.com/150
T005,Mouse,Accessorie: Logitech,en,Wireless Optical,700,2023-01-05,4.4,90,U044,https://via.placeholder.com/150
T005,USB Hub,Accessorie: Anker,en,4-Port USB,1500,2023-01-05,4.7,120,U029,https://via.placeholder.com/150
T006,Headphones,Accessorie: JBL,en,"Over-ear, Wireless",2500,2023-01-06,4.6,130,U003,https://via.placeholder.com/150
T006,Earphones,Accessorie: boAt,en,"In-ear, Wireless",999,2023-01-06,4.3,85,U035,https://via.placeholder.com/150
T006,Laptop Stand,Accessorie: AmazonBasics,en,Adjustable,999,2023-01-06,4.2,75,U032,https://via.placeholder.com/150
T007,Mouse,Accessorie: Logitech,en,Wireless Optical,700,2023-01-07,4.4,90,U041,https://via.placeholder.com/150
T008,Monitor,Electronics: Samsung,en,24-inch Full HD,12000,2023-01-08,4.8,200,U015,https://via.placeholder.com/150
T008,Keyboard,Accessorie: HP,en,Mechanical,1200,2023-01-08,4.5,110,U048,https://via.placeholder.com/150
T009,Webcam,Accessorie: Logitech,en,HD 1080p,1800,2023-01-09,4.5,100,U050,https://via.placeholder.com/150
T009,Monitor,Electronics: Samsung,en,24-inch Full HD,12000,2023-01-09,4.8,200,U017,https://via.placeholder.com/150
T010,External HDD,Seagate,en,1TB Portable,3500,2023-01-10,4.6,150,U048,https://via.placeholder.com/150
T010,Laptop,Electronics: Dell,en,"i5, 8GB RAM",45000,2023-01-10,4.9,250,U002,https://via.placeholder.com/150
T011,Mouse,Accessorie: Logitech,en,Wireless Optical,700,2023-01-11,4.4,90,U007,https://via.placeholder.com/150
